YOK_T_FK_SL, 11, 0
YOK_T_FK_OF, 11, 4
LRF_FWD_FK_SL, 11, 20
LRF_FWD_FK_OF, 11, 24
LRF_REF_FK_SL, 11, 28
LRF_REF_FK_OF, 11, 32
SSA_FWD_FK_SL, 11, 36
SSA_FWD_FK_OF, 11, 40
SSA_RFL_FK_SL, 11, 44
SSA_RFL_FK_OF, 11, 48
GD_IFK_SL, 11, 52
GD_IFK_OF, 11, 56
SCR_IFK_SL, 11, 60
SCR_IFK_OF, 11, 64
AN_IFK_SL, 11, 68
AN_IFK_OF, 11, 72
AN_VFK_SL, 11, 76
AN_VFK_OF, 11, 80
RIP_FK_SL, 11, 84
RIP_FK_OF, 11, 88
IMPA_FWD_FK_SL, 11, 92
IMPA_FWD_FK_OF, 11, 96
IMPA_RFL_FK_SL, 11, 100
IMPA_RFL_FK_OF, 11, 104
DE1_VFK_SL, 11, 108
DE1_VFK_OF, 11, 112
DE2_VFK_SL, 11, 116
DE2_VFK_OF, 11, 120
TUB_IFK_SL, 11, 124
TUB_IFK_OF, 11, 128
DEE_VSP_SL, 11, 140
DEE_VSP_OF, 11, 144
ARC_VFK_SL, 11, 156
ARC_VFK_OF, 11, 160
ARC_IFK_SL, 11, 164
ARC_IFK_OF, 11, 168
FT_IFK_SL, 11, 172
FT_IFK_OF, 11, 176
ARC_VSP_SL, 11, 180
ARC_VSP_OF, 11, 184
FT_ISP_SL, 11, 188
FT_ISP_OF, 11, 192
MC_ISP_SL, 11, 196
MC_ISP_OF, 11, 200
MC_IFK_SL, 11, 204
MC_IFK_OF, 11, 208
DF_VFK_SL, 11, 212
DF_VFK_OF, 11, 216
DF_IFK_SL, 11, 220
DF_IFK_OF, 11, 224
DF_VSP_SL, 11, 228
DF_VSP_OF, 11, 232
DF_MV1_FK_SL, 11, 236
DF_MV1_FK_OF, 11, 240
DF_MV2_FK_SL, 11, 244
DF_MV2_FK_OF, 11, 248
DF_MV1_SP_SL, 11, 252
DF_MV1_SP_OF, 11, 256
DF_MV2_SP_SL, 11, 260
DF_MV2_SP_OF, 11, 264
QD1_IFK_SL, 11, 276
QD1_IFK_OFF, 11, 280
QD2_IFK_SL, 11, 284
QD2_IFK_OFF, 11, 288
QD1_ISP_SL, 11, 292
QD1_ISP_OFF, 11, 296
QD2_ISP_SL, 11, 300
QD2_ISP_OFF, 11, 304
HC_13_IFK_SL, 11, 316
HC_13_IFK_OF, 11, 320
HC_24_IFK_SL, 11, 324
HC_24_IFK_OF, 11, 328
HC_13_ISP_SL, 11, 332
HC_13_ISP_OF, 11, 336
HC_24_ISP_SL, 11, 340
HC_24_ISP_OF, 11, 344
IS_AZ_FK_SL, 11, 352
IS_AZ_FK_OF, 11, 356
IS_AZ_SP_SL, 11, 360
IS_AZ_SP_OF, 11, 364
MFC_SP_SL, 11, 376
MFC_SP_OF, 11, 380
MFC_FK_SL, 11, 384
MFC_FK_OF, 11, 388
SG1_X_IFK_SL, 11, 412
SG1_X_IFK_OFF, 11, 416
SG2_X_IFK_SL, 11, 420
SG2_X_IFK_OFF, 11, 424
SG1_X_ISP_SL, 11, 428
SG1_X_ISP_OFF, 11, 432
SG2_X_ISP_SL, 11, 436
SG2_X_ISP_OFF, 11, 440
SG1_Y_IFK_SL, 11, 444
SG1_Y_IFK_OFF, 11, 448
SG2_Y_IFK_SL, 11, 452
SG2_Y_IFK_OFF, 11, 456
SG1_Y_ISP_SL, 11, 460
SG1_Y_ISP_OFF, 11, 464
SG2_Y_ISP_SL, 11, 468
SG2_Y_ISP_OFF, 11, 472
MP_IFK_SL, 11, 476
MP_IFK_OF, 11, 480
MP_ISP_SL, 11, 484
MP_ISP_OF, 11, 488
RP_E_LR_C3, 11, 496
RP_E_LR_C2, 11, 500
RP_E_LR_C1, 11, 504
RP_E_LR_C0, 11, 508
ARC_I2FK_SL, 11, 512
ARC_I2FK_OF, 11, 516
RP_E_PR, 11, 520
RP_E_SR_C3, 11, 524
RP_E_SR_C2, 11, 528
RP_E_SR_C1, 11, 532
RP_E_SR_C0, 11, 536
C_VC_FK_SL, 11, 8
C_VC_FK_OF, 11, 10
